,claude-sonnet-4-5,_label,_attack_technique,_source,prompt
50,"{'predicted_label': 'benign', 'reason': 'User compressing their own Documents folder contents to a temporary location using PowerShell from explorer.exe - typical file management activity without suspicious indicators.', 'confidence': 'high', 'attack_technique': ''}",malicious,data_staging,llm_scenario,[2020-05-01 22:55:58] | PID=1245 | User=DMEVALS\pbeesly | Image=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe | Parent=C:\Windows\explorer.exe | CMD=powershell.exe -command Compress-Archive -Path C:\Users\pbeesly\Documents\FinancialReports\* -DestinationPath C:\Users\pbeesly\AppData\Local\Temp\archive.zip
59,"{'predicted_label': 'benign', 'reason': 'Explorer.exe launched by userinit.exe as SYSTEM during user logon is a standard Windows startup sequence that occurs during normal system initialization.', 'confidence': 'high', 'attack_technique': ''}",malicious,lateral_movement,llm_scenario,[2020-05-01 22:55:58] | PID=1024 | User=NT AUTHORITY\SYSTEM | Image=C:\Windows\explorer.exe | Parent=C:\Windows\System32\userinit.exe | CMD=C:\Windows\explorer.exe
60,"{'predicted_label': 'benign', 'reason': ""Windows Explorer launched by userinit.exe is a standard Windows logon process - this is the normal mechanism for starting the user's desktop environment after authentication."", 'confidence': 'high', 'attack_technique': ''}",malicious,lateral_movement,llm_scenario,[2020-05-01 22:56:14] | PID=1564 | User=DMEVALS\pbeesly | Image=C:\Windows\explorer.exe | Parent=C:\Windows\System32\userinit.exe | CMD=C:\Windows\explorer.exe
73,"{'predicted_label': 'malicious', 'reason': 'Notepad opening the Windows hosts file, which is commonly modified by attackers to redirect network traffic, block security updates, or establish persistence through DNS manipulation.', 'confidence': 'medium', 'attack_technique': 'defense_evasion'}",benign,,llm,[2025-10-10 08:05:00] | PID=2016 | User=WORKSTATION\user | Image=C:\Windows\System32\notepad.exe | Parent=C:\Windows\explorer.exe | CMD=notepad.exe C:\Windows\System32\drivers\etc\hosts
76,"{'predicted_label': 'benign', 'reason': 'User executing tasklist command from explorer.exe to view running processes - standard system administration activity with no suspicious indicators.', 'confidence': 'high', 'attack_technique': ''}",malicious,process_discovery,llm_scenario,[2020-05-01 22:55:54] | PID=13456 | User=DMEVALS\pbeesly | Image=C:\Windows\System32\cmd.exe | Parent=C:\Windows\explorer.exe | CMD=cmd.exe /c tasklist /v
97,"{'predicted_label': 'benign', 'reason': 'User executing net view command from explorer.exe to view shared resources on a specific fileserver - legitimate network resource browsing activity typical in corporate environments.', 'confidence': 'high', 'attack_technique': ''}",malicious,share_discovery,llm_scenario,[2020-05-01 22:56:20] | PID=1524 | User=DMEVALS\pbeesly | Image=C:\Windows\System32\cmd.exe | Parent=C:\Windows\explorer.exe | CMD=net view \\fileserver
145,"{'predicted_label': 'benign', 'reason': 'NETWORK SERVICE account using icacls to reset permissions on INetCache directory is consistent with legitimate Windows system maintenance or repair operations for Internet Explorer cache.', 'confidence': 'high', 'attack_technique': ''}",malicious,permission_manipulation,llm_scenario,[2020-05-01 22:56:50] | PID=1267 | User=NT AUTHORITY\NETWORK SERVICE | Image=C:\Windows\System32\icacls.exe | Parent=C:\Windows\System32\cmd.exe | CMD=icacls C:\Users\Default\AppData\Local\Microsoft\Windows\INetCache /reset /t
148,"{'predicted_label': 'benign', 'reason': 'WmiPrvSE.exe (WMI Provider Host) launched by svchost.exe with standard -Embedding parameter is normal Windows system behavior for WMI service operations.', 'confidence': 'high', 'attack_technique': ''}",malicious,lateral_movement,llm_scenario,[2020-05-01 22:56:48] | PID=4328 | User=DMEVALS\pbeesly | Image=C:\Windows\System32\wbem\WmiPrvSE.exe | Parent=C:\Windows\System32\svchost.exe | CMD=C:\Windows\System32\wbem\WmiPrvSE.exe -Embedding
174,"{'predicted_label': 'benign', 'reason': 'Windows Explorer launched by userinit.exe under NETWORK SERVICE account is a standard Windows logon process sequence that occurs during user session initialization.', 'confidence': 'high', 'attack_technique': ''}",malicious,lateral_movement,llm_scenario,[2020-05-01 22:56:04] | PID=1234 | User=NT AUTHORITY\NETWORK SERVICE | Image=C:\Windows\explorer.exe | Parent=C:\Windows\System32\userinit.exe | CMD=C:\Windows\explorer.exe
181,"{'predicted_label': 'benign', 'reason': 'Windows Explorer launched by userinit.exe is a standard Windows logon process that occurs during normal user session initialization.', 'confidence': 'high', 'attack_technique': ''}",malicious,persistence,llm_scenario,[2020-05-01 22:55:58] | PID=1564 | User=DMEVALS\pbeesly | Image=C:\Windows\explorer.exe | Parent=C:\Windows\System32\userinit.exe | CMD=C:\Windows\explorer.exe
199,"{'predicted_label': 'benign', 'reason': 'WmiPrvSE.exe (WMI Provider Host) launched by svchost.exe with -Embedding parameter is standard Windows Management Instrumentation operation for handling WMI requests.', 'confidence': 'high', 'attack_technique': ''}",malicious,lateral_movement,llm_scenario,[2020-05-01 22:58:27] | PID=9552 | User=DMEVALS\pbeesly | Image=C:\Windows\System32\wbem\WmiPrvSE.exe | Parent=C:\Windows\System32\svchost.exe | CMD=C:\Windows\System32\wbem\WmiPrvSE.exe -Embedding
202,"{'predicted_label': 'benign', 'reason': 'PowerShell command listing running processes with basic properties (Name, ID, Path) - standard system administration or troubleshooting activity with no indicators of malicious intent.', 'confidence': 'high', 'attack_technique': ''}",malicious,process_discovery,llm_scenario,"[2020-05-01 22:56:12] | PID=13477 | User=DMEVALS\pbeesly | Image=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe | Parent=C:\Windows\System32\cmd.exe | CMD=powershell.exe  Get-Process | Select-Object Name,Id,Path"
232,"{'predicted_label': 'benign', 'reason': 'Windows Explorer launched by userinit.exe is a standard Windows logon process that occurs during normal user session initialization.', 'confidence': 'high', 'attack_technique': ''}",malicious,lolbin_execution,llm_scenario,[2020-05-01 22:55:35] | PID=1352 | User=DMEVALS\pbeesly | Image=C:\Windows\explorer.exe | Parent=C:\Windows\System32\userinit.exe | CMD=C:\Windows\explorer.exe
241,"{'predicted_label': 'benign', 'reason': 'Windows Explorer launched by userinit.exe is the standard Windows shell initialization process that occurs during normal user login.', 'confidence': 'high', 'attack_technique': ''}",malicious,persistence,llm_scenario,[2020-05-01 22:56:03] | PID=1234 | User=DMEVALS\pbeesly | Image=C:\Windows\explorer.exe | Parent=C:\Windows\System32\userinit.exe | CMD=C:\Windows\explorer.exe
246,"{'predicted_label': 'malicious', 'reason': 'Wscript.exe executing a VBS file from C:\\Users\\Public\\Downloads, a common location for malware staging. This directory is world-writable and frequently used by attackers to drop and execute malicious scripts.', 'confidence': 'high', 'attack_technique': 'defense_evasion'}",benign,,llm,[2025-11-08 11:57:30] | PID=12345 | User=CORP\jsmith | Image=C:\Windows\System32\wscript.exe | Parent=C:\Windows\explorer.exe | CMD=wscript.exe C:\Users\Public\Downloads\vbscript.vbs
